gpu_pipeline session log
timestamp: Wed Sep  3 22:14:48 2025
input_dir: "data"
output_dir: "outputs/run_streams"
ops: gauss,sobel,histeq
OK   small_1546.pgm -> small_1546.pgm
OK   small_1934.pgm -> small_1934.pgm
OK   small_803.pgm -> small_803.pgm
OK   small_471.pgm -> small_471.pgm
OK   small_1680.pgm -> small_1680.pgm
OK   small_1127.pgm -> small_1127.pgm
OK   small_1321.pgm -> small_1321.pgm
OK   small_1486.pgm -> small_1486.pgm
OK   small_677.pgm -> small_677.pgm
OK   small_1740.pgm -> small_1740.pgm
OK   small_216.pgm -> small_216.pgm
OK   small_560.pgm -> small_560.pgm
OK   small_912.pgm -> small_912.pgm
OK   small_1791.pgm -> small_1791.pgm
OK   small_1036.pgm -> small_1036.pgm
OK   small_101.pgm -> small_101.pgm
OK   small_1825.pgm -> small_1825.pgm
OK   small_1457.pgm -> small_1457.pgm
OK   small_438.pgm -> small_438.pgm
OK   small_059.pgm -> small_059.pgm
OK   small_088.pgm -> small_088.pgm
OK   small_1279.pgm -> small_1279.pgm
